titulo
1943-1945 – Capitão América: O Primeiro Vingador (Lançado pela Marvel Studios em 2011);
1995 – Capitã Marvel (Lançado em 2019);
2010 – Homem de Ferro (Lançado em 2008);
2011 – O Incrível Hulk (Lançado em 2008);
2011 – Homem de Ferro 2 (Lançado em 2010);
2011 – Thor (Lançado em 2011);
2012 – Os Vingadores (Lançado em 2012);
2012 – Homem de Ferro 3 (Lançado em 2013);
2013 – Thor: O Mundo Sombrio (Lançado em 2013);
2014 – Capitão América 2 – O Soldado Invernal (Lançado em 2014);
2014 – Guardiões da Galáxia (Lançado em 2014);
2014 – Guardiões da Galáxia Vol. 2 (Lançado em 2017);
2015 – Vingadores: Era de Ultron (Lançado em 2015);
2015 – Homem-Formiga (Lançado em 2015);
2016 – Capitão América: Guerra Civil (Lançado em 2016);
2016 – Viúva Negra (Lançado em 2021);
2016 – Pantera Negra (Lançado em 2018);
2016 – Homem-Aranha: De Volta ao Lar (Lançado em 2017);
2016/2017 – Doutor Estranho (Lançado em 2016);
2017 – Thor: Ragnarok (Lançado em 2017);
2017 – Homem-Formiga e a Vespa (Lançado em 2018);
2017 – Vingadores: Guerra Infinita (Lançado em 2018);
2018-2023 – Vingadores: Ultimato (Lançado em 2019);
2023 – Loki (Lançado em 2021);
2023 – What if…? (Lançado em 2021);
2023 – WandaVision (Lançado em 2021);
2024 – Deadpool & Wolverine (Lançado em 2024);
2024 – Falcão e o Soldado Invernal (Lançado em 2021);
2024 – Shang-Chi e a Lenda dos Dez Anéis (Lançado em 2021);
2024 – Eternos (Lançado em 2021);
2024 – Homem-Aranha: Longe de Casa (Lançado em 2019);
2024 – Homem-Aranha: Sem Volta Para Casa (Lançado em 2021);
2024 – Doutor Estranho no Multiverso da Loucura (Lançado em 2022);
2024/2025 – Gavião Arqueiro (Lançado em 2021);
2025 – Cavaleiro da Lua (Lançado em 2022); 
2025 – Pantera Negra: Wakanda Para Sempre (Lançado em 2022);
2025 – Eco (Lançado em 2024);
2025 – Mulher-Hulk: Defensora de Heróis (Lançado em 2022);
2025 – Ms. Marvel (Lançado em 2022);
2025 – Homem-Formiga e a Vespa: Quantumania (Lançado em 2023); 
2025 – Thor: Amor e Trovão (Lançado em 2022);
2025 – Lobisomem na Noite (Lançado em 2022);
2025 – Guardiões da Galáxia: Especial de Festas (Lançado em 2022); 
2025 – Guardiões da Galáxia Vol. 3 (Lançado em 2023);
2025 – Invasão Secreta (Lançado em 2023);
2025 – As Marvels (Lançado em 2023);
2026 – Agatha Desde Sempre (Lançado em 2024); 
2026 – Capitão América: Admirável Mundo Novo (Lançado em 2025);
2026-2027 – Demolidor: Renascido (Lançado em 2025);
